,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh)
0,0.044,0.0,0.044,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
1,0.044,0.01,0.054,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
2,0.044,0.02,0.064,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
3,0.044,0.03,0.074,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
4,0.044,0.04,0.08399999999999999,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
5,0.044,0.05,0.094,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
6,0.044,0.06,0.104,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
7,0.044,0.07,0.114,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
8,0.044,0.08,0.124,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
9,0.044,0.09,0.134,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
10,0.044,0.1,0.14400000000000002,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
11,0.044,0.11,0.154,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
12,0.044,0.12,0.16399999999999998,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
13,0.044,0.13,0.174,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
14,0.044,0.14,0.184,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
15,0.044,0.15,0.194,0.0,123984.0,0.0,2843949.0,-0.0,2772850.275,0.0,24000000.0,0.0,0.0,0.0,,0.9557513469479932,0.0,,,0.0
16,0.044,0.16,0.20400000000000001,75164.018,123984.0,0.0,2843949.0,2707492.115,65358.15,1759869.889,22240130.07,189222.41,0.0,0.0,0.9755720089586837,0.9557513469479932,189222.41,0.10752068160420694,0.26752068160420694,0.0
17,0.044,0.17,0.21400000000000002,78098.28,123984.0,0.0,2843949.0,2766385.035,6465.225,1798150.2829999998,22201849.71,193894.76,0.0,0.0,0.9593415944414311,0.9557513469479932,193894.76,0.10783011955847743,0.2778301195584775,0.0
18,0.044,0.18,0.22399999999999998,78472.193,123984.0,0.0,2843949.0,2772286.715,563.55,1801986.3760000002,22198013.64,194397.18,0.0,0.0,0.9568072816146055,0.9557513469479932,194397.18,0.10787938387831628,0.28787938387831624,0.0
19,0.044,0.19,0.23399999999999999,78474.094,123984.0,0.0,2843949.0,2772310.085,540.15,1802001.584,22197998.44,194399.35,0.0,0.0,0.9567921782357033,0.9557513469479932,194399.35,0.10787967764627669,0.2978796776462767,0.0
20,0.044,0.2,0.244,78483.6,123984.0,0.0,2843949.0,2772412.495,437.775,1802068.1260000002,22197931.87,194409.36,0.0,0.0,0.9567116176712928,0.9557513469479932,194409.36,0.1078812488801547,0.3078812488801547,0.0
21,0.044,0.21,0.254,78510.851,123984.0,0.0,2843949.0,2772664.075,186.225,1802231.632,22197768.37,194435.62,0.0,0.0,0.9564663191164069,0.9557513469479932,194435.62,0.1078860322655795,0.3178860322655795,0.0
22,0.044,0.22,0.264,78512.753,123984.0,0.0,2843949.0,2772678.675,171.6,1802241.142,22197758.87,194437.28,0.0,0.0,0.9564481953226971,0.9557513469479932,194437.28,0.10788638405192949,0.3278863840519295,0.0
23,0.044,0.23,0.274,78512.753,123984.0,0.0,2843949.0,2772678.675,171.6,1802241.142,22197758.87,194437.28,0.0,0.0,0.9564481953226971,0.9557513469479932,194437.28,0.10788638405192949,0.3378863840519295,0.0
24,0.044,0.24,0.284,78520.991,123984.0,0.0,2843949.0,2772729.3550000004,120.9,1802274.094,22197725.910000004,194443.75,0.0,0.0,0.956365335693059,0.9557513469479932,194443.75,0.10788800141295267,0.3478880014129527,0.0
25,0.044,0.25,0.294,78520.991,123984.0,0.0,2843949.0,2772729.3550000004,120.9,1802274.094,22197725.910000004,194443.75,0.0,0.0,0.956365335693059,0.9557513469479932,194443.75,0.10788800141295267,0.3578880014129527,0.0
26,0.044,0.26,0.304,78520.991,123984.0,0.0,2843949.0,2772729.3550000004,120.9,1802274.094,22197725.910000004,194443.75,0.0,0.0,0.956365335693059,0.9557513469479932,194443.75,0.10788800141295267,0.3678880014129527,0.0
27,0.044,0.27,0.314,78520.991,123984.0,0.0,2843949.0,2772729.3550000004,120.9,1802274.094,22197725.910000004,194443.75,0.0,0.0,0.956365335693059,0.9557513469479932,194443.75,0.10788800141295267,0.3778880014129527,0.0
28,0.044,0.28,0.324,78523.526,123984.0,0.0,2843949.0,2772741.085,109.19999999999999,1802281.699,22197718.29,194445.51,0.0,0.0,0.9563384964611329,0.9557513469479932,194445.51,0.10788852270313155,0.38788852270313157,0.0
29,0.044,0.29,0.33399999999999996,78523.526,123984.0,0.0,2843949.0,2772741.085,109.19999999999999,1802281.699,22197718.29,194445.51,0.0,0.0,0.9563384964611329,0.9557513469479932,194445.51,0.10788852270313155,0.3978885227031315,0.0
30,0.044,0.3,0.344,78523.526,123984.0,0.0,2843949.0,2772741.085,109.19999999999999,1802281.699,22197718.29,194445.51,0.0,0.0,0.9563384964611329,0.9557513469479932,194445.51,0.10788852270313155,0.40788852270313153,0.0
