,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh)
0,0.044,0.0,0.044,0.0,1000000.0,0.0,556669137.336,-0.0,542752408.9169999,0.0,744000000.0,0.0,0.0,27865165.0,,0.7482112060967742,27865165.0,inf,inf,0.05005696046551412
1,0.044,0.01,0.054,0.0,1000000.0,0.0,556669137.336,-0.0,542752408.9169999,0.0,744000000.0,0.0,0.0,27865165.0,,0.7482112060967742,27865165.0,inf,inf,0.05005696046551412
2,0.044,0.02,0.064,0.0,1000000.0,0.0,556669137.336,-0.0,542752408.9169999,0.0,744000000.0,0.0,0.0,27865165.0,,0.7482112060967742,27865165.0,inf,inf,0.05005696046551412
3,0.044,0.03,0.074,0.0,1000000.0,0.0,556669137.136,-0.0,542752408.9169999,0.0,744000000.0,0.0,0.0,27865165.0,,0.7482112058279571,27865165.0,inf,inf,0.05005696048349857
4,0.044,0.04,0.08399999999999999,0.0,1000000.0,0.0,556669137.336,-0.0,542752408.9169999,0.0,744000000.0,0.0,0.0,27865165.0,,0.7482112060967742,27865165.0,inf,inf,0.05005696046551412
5,0.044,0.05,0.094,0.0,1000000.0,0.0,556669137.336,-0.0,542752408.9169999,0.0,744000000.0,0.0,0.0,27865165.0,,0.7482112060967742,27865165.0,inf,inf,0.05005696046551412
6,0.044,0.06,0.104,0.0,1000000.0,0.0,556669137.336,-0.0,542752408.9169999,0.0,744000000.0,0.0,0.0,27865165.0,,0.7482112060967742,27865165.0,inf,inf,0.05005696046551412
7,0.044,0.07,0.114,477505.82,1000000.0,0.0,556669137.336,467222370.70699996,75530040.5425,303694537.2604,440305462.75999993,6339027.1,0.0,27865165.0,0.8548410621241168,0.7482112060967742,34204192.1,0.11262695868207843,0.18262695868207846,0.05005696046551412
8,0.044,0.08,0.124,542347.5,1000000.0,0.0,556669137.336,510457344.15699995,32295063.233875003,331797273.5404,412202726.47999996,7199819.1,0.0,27865165.0,0.8222847479508015,0.7482112060967742,35064984.1,0.10568195369975049,0.1856819536997505,0.05005696046551412
9,0.044,0.09,0.134,573405.83,1000000.0,0.0,556669137.336,525756063.90700006,16996345.33055,341741442.53040004,402258557.48999995,7612127.2,0.0,27865165.0,0.8010555035239066,0.7482112060967742,35477292.2,0.10381325699719336,0.19381325699719337,0.05005696046551412
10,0.044,0.1,0.14400000000000002,595969.54,1000000.0,0.0,556669137.336,534712076.59700006,8040333.135600001,347562849.10040003,396437150.92,7911667.0,0.0,27865165.0,0.7838561129658239,0.7482112060967742,35776832.0,0.10293629509771107,0.20293629509771108,0.05005696046551412
11,0.044,0.11,0.154,606128.92,1000000.0,0.0,556669137.336,538062539.1570001,4689869.926100001,349740650.5504,394259349.47,8046535.7,0.0,27865165.0,0.7755470891522372,0.7482112060967742,35911700.7,0.1026809455620455,0.2126809455620455,0.05005696046551412
12,0.044,0.12,0.16399999999999998,612639.0,1000000.0,0.0,556669137.336,539930756.1769999,2821653.4017000003,350954990.2204,393045009.8,8132959.0,0.0,27865165.0,0.7699700745998797,0.7482112060967742,35998124.0,0.10257191093761953,0.22257191093761952,0.05005696046551412
13,0.044,0.13,0.174,614734.2,1000000.0,0.0,556669137.336,540452903.237,2299505.6206199997,351294386.40040004,392705613.62,8160773.3,0.0,27865165.0,0.7680878568234631,0.7482112060967742,36025938.3,0.10255198971195109,0.2325519897119511,0.05005696046551412
14,0.044,0.14,0.184,619078.65,1000000.0,0.0,556669137.336,541437463.497,1314945.8301900001,351934351.4604,392065648.56,8218447.1,0.0,27865165.0,0.7640871515848331,0.7482112060967742,36083612.1,0.10252938353492944,0.24252938353492945,0.05005696046551412
15,0.044,0.15,0.194,621105.13,1000000.0,0.0,556669137.336,541843124.067,909284.2434350001,352198030.9304,391801969.09000003,8245349.2,0.0,27865165.0,0.7621647726130821,0.7482112060967742,36110514.2,0.10252900649275924,0.2525290064927592,0.05005696046551412
16,0.044,0.16,0.20400000000000001,622674.81,1000000.0,0.0,556669137.336,542129840.9070001,622568.3834299999,352384396.28040004,391615603.74,8266187.2,0.0,27865165.0,0.7606457393661015,0.7482112060967742,36131352.2,0.10253391631804687,0.2625339163180469,0.05005696046551412
