,elec_cost_(£/kWh),hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
0,0.065,0.065,0.0,0.058,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
1,0.065,0.065,0.005,0.063,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
2,0.065,0.065,0.01,0.068,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
3,0.065,0.065,0.015,0.07300000000000001,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
4,0.065,0.065,0.02,0.078,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
5,0.065,0.065,0.025,0.083,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
6,0.065,0.065,0.03,0.088,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
7,0.065,0.065,0.035,0.093,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
8,0.065,0.065,0.04,0.098,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
9,0.065,0.065,0.045,0.10300000000000001,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
10,0.065,0.065,0.05,0.10800000000000001,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
11,0.065,0.065,0.055,0.113,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
