,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
20,0.057,0.02,0.078,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0540984074114864
21,0.057,0.021,0.079,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0550984074114864
22,0.057,0.022,0.08,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.056098407411486396
23,0.057,0.023,0.081,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0570984074114864
24,0.057,0.024,0.082,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0580984074114864
25,0.057,0.025,0.083,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0590984074114864
26,0.057,0.026000000000000002,0.084,41666.667,59523.810000000005,1000000.0,0.0,5235731037.1,519894701.4000001,4715836319.514999,363926298.20000005,1073701.7999999686,1545009.1,0.0,178530090.0,0.9970583432564101,0.6130114774760274,180075099.1,0.004245390090360884,0.0340984074114864,0.03544951066650476,0.06144951066650476
27,0.057,0.027,0.085,41666.667,59523.810000000005,1000000.0,0.0,5235731037.1,519894701.4000001,4715836319.514999,363926298.20000005,1073701.8,1545009.1,0.0,178530090.0,0.9970583432564101,0.6130114774760274,180075099.1,0.004245390090360884,0.0340984074114864,0.03544951066650476,0.062449510666504754
28,0.057,0.028,0.08600000000000001,41666.667,59523.810000000005,1000000.0,0.0,5235731037.1,519894701.4000001,4715836319.514999,363926298.20000005,1073701.8000000431,1545009.1,0.0,178530090.0,0.9970583432564101,0.6130114774760274,180075099.1,0.004245390090360884,0.0340984074114864,0.03544951066650476,0.06344951066650475
29,0.057,0.029,0.08700000000000001,41666.667,59523.810000000005,1000000.0,0.0,5235731037.1,519894701.4000001,4715836319.514999,363926298.20000005,1073701.8,1545009.1,0.0,178530090.0,0.9970583432564101,0.6130114774760274,180075099.1,0.004245390090360884,0.0340984074114864,0.03544951066650476,0.06444951066650476
30,0.057,0.03,0.088,41666.667,59523.810000000005,1000000.0,0.0,5235731037.1,519894701.4000001,4715836319.514999,363926298.20000005,1073701.8,1545009.1,0.0,178530090.0,0.9970583432564101,0.6130114774760274,180075099.1,0.004245390090360884,0.0340984074114864,0.03544951066650476,0.06544951066650476
31,0.057,0.031,0.089,41666.667,59523.810000000005,1000000.0,0.0,5235731037.1,519894701.4000001,4715836319.514999,363926298.20000005,1073701.8,1545009.1,0.0,178530090.0,0.9970583432564101,0.6130114774760274,180075099.1,0.004245390090360884,0.0340984074114864,0.03544951066650476,0.06644951066650476
32,0.057,0.032,0.09,41666.667,59523.810000000005,1000000.0,0.0,5235731037.1,519894701.4000001,4715836319.514999,363926298.20000005,1073701.7999999835,1545009.1,0.0,178530090.0,0.9970583432564101,0.6130114774760274,180075099.1,0.004245390090360884,0.0340984074114864,0.03544951066650476,0.06744951066650476
33,0.057,0.033,0.091,41666.667,59523.810000000005,1000000.0,0.0,5235731037.1,519894701.4000001,4715836319.514999,363926298.20000005,1073701.8,1545009.1,0.0,178530090.0,0.9970583432564101,0.6130114774760274,180075099.1,0.004245390090360884,0.0340984074114864,0.03544951066650476,0.06844951066650476
34,0.057,0.034,0.092,41666.667,59523.810000000005,1000000.0,0.0,5235731037.1,519894701.4000001,4715836319.514999,363926298.20000005,1073701.8,1545009.1,0.0,178530090.0,0.9970583432564101,0.6130114774760274,180075099.1,0.004245390090360884,0.0340984074114864,0.03544951066650476,0.06944951066650476
35,0.057,0.035,0.093,41666.667,59523.810000000005,1000000.0,0.0,5235731037.1,519894701.4000001,4715836319.514999,363926298.20000005,1073701.8,1545009.1,0.0,178530090.0,0.9970583432564101,0.6130114774760274,180075099.1,0.004245390090360884,0.0340984074114864,0.03544951066650476,0.07044951066650476
