,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh)
0,0.044,0.0,0.044,0.0,0.0,0.0,0.0,-0.0,0,0.0,24000000.0,0.0,0.0,0.0,inf,,0.0,,,
1,0.044,0.01,0.054,0.0,0.0,0.0,0.0,-0.0,0,0.0,24000000.0,0.0,0.0,0.0,0.513367209975537,,0.0,,,
2,0.044,0.02,0.064,0.0,0.0,0.0,0.0,-0.0,0,0.0,24000000.0,0.0,0.0,0.0,,,0.0,,,
3,0.044,0.03,0.074,0.0,0.0,0.0,0.0,-0.0,0,0.0,24000000.0,0.0,0.0,0.0,0.375,,0.0,,,
4,0.044,0.04,0.08399999999999999,594263.68,937694.17,0.0,22487352.57,21925168.630000003,0,14251359.690000001,9748640.309999999,381893.4,0.0,702915.41,0.9992309369302194,0.9992309366176394,1084808.81,0.07611967093646486,0.11611967093646486,0.0312582554043177
5,0.044,0.05,0.094,598088.4,943729.23,0.0,22612501.009999998,22047188.5,0,14330672.530000001,9669327.469999999,384351.29,0.0,707439.42,0.9983663876722348,0.9983663874470999,1091790.71,0.07618558778134328,0.12618558778134328,0.031285323975757784
6,0.044,0.06,0.104,606214.92,956552.14,0.0,22845663.6,22274521.89,0,14478439.34,9521560.66,389573.66,0.0,717051.74,0.9951393242405404,0.9951393240309934,1106625.4,0.07643264401727982,0.13643264401727984,0.03138677661348388
7,0.044,0.07,0.114,606520.58,957034.44,0.0,22853862.7,22282516.14,0,14483635.559999999,9516364.440000001,389770.09,0.0,717413.29,0.9949947864918286,0.9949947874045857,1107183.3800000001,0.07644374752550044,0.14644374752550043,0.031391336310075936
8,0.044,0.08,0.124,608125.89,959567.48,0.0,22892742.4,22320423.790000003,0,14508275.5,9491724.5,390801.71,0.0,719312.11,0.9940564759817522,0.9940564749721058,1110113.82,0.07651590431957266,0.15651590431957266,0.031420967284373935
9,0.044,0.09,0.134,609066.58,961051.81,0.0,22913523.020000003,22340684.87,0,14521445.159999998,9478554.84,391406.23,0.0,720424.79,0.9934221230788923,0.9934221192854664,1111831.02,0.07656476388883048,0.16656476388883046,0.03144103110513295
10,0.044,0.1,0.14400000000000002,609866.64,962314.22,0.0,22929934.349999998,22356685.92,0,14531845.940000001,9468154.059999999,391920.37,0.0,721371.12,0.9928294829068424,0.9928294847913605,1113291.49,0.07661046604792178,0.1766104660479218,0.03145979874992534
11,0.044,0.11,0.154,610146.19,962755.33,1.1763876e-10,22935227.669999998,22361847.0,0,14535200.54,9464799.46,392100.03,0.0,721701.79,0.9926036837718077,0.992603682858863,1113801.82,0.07662789494612643,0.18662789494612642,0.03146695556652393
12,0.044,0.12,0.16399999999999998,610146.19,962755.33,0.0,22935227.669999998,22361847.0,0,14535200.54,9464799.46,392100.03,0.0,721701.79,0.9926036837718077,0.992603682858863,1113801.82,0.07662789494612643,0.19662789494612642,0.03146695556652393
13,0.044,0.13,0.174,610411.01,963173.2,0.0,22939824.240000002,22366328.619999997,0,14538113.559999999,9461886.44,392270.21,0.0,722015.03,0.9923718965466671,0.9923718911614238,1114285.24,0.07664579282595727,0.20664579282595727,0.031474305227719566
