,elec_cost_(£/kWh),hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
0,0.065,0.065,0.0,0.058,0.0,0.0,1000000.0,0.0,5369980543.002,-0.0,5369980543.042,0.0,8760000000.0,0.0,0.0,199117770.0,,0.6130114775310502,199117770.0,,0.03707979356824382,0.03707979356796762,0.03707979356796762
1,0.065,0.065,0.005,0.063,0.0,0.0,1000000.0,0.0,5369980543.002,-0.0,5369980543.042,0.0,8760000000.0,0.0,0.0,199117770.0,,0.6130114775310502,199117770.0,,0.03707979356824382,0.03707979356796762,0.042079793567967615
2,0.065,0.065,0.01,0.068,0.0,0.0,1000000.0,0.0,5369980543.002,-0.0,5369980543.042,0.0,8760000000.0,0.0,0.0,199117770.0,,0.6130114775310502,199117770.0,,0.03707979356824382,0.03707979356796762,0.04707979356796762
3,0.065,0.065,0.015,0.07300000000000001,0.0,0.0,1000000.0,0.0,5369980543.002,-0.0,5369980543.042,0.0,8760000000.0,0.0,0.0,199117770.0,,0.6130114775310502,199117770.0,,0.03707979356824382,0.03707979356796762,0.05207979356796762
4,0.065,0.065,0.02,0.078,0.0,0.0,1000000.0,0.0,5369980543.002,-0.0,5369980543.042,0.0,8760000000.0,0.0,0.0,199117770.0,,0.6130114775310502,199117770.0,,0.03707979356824382,0.03707979356796762,0.05707979356796762
5,0.065,0.065,0.025,0.083,0.0,0.0,1000000.0,0.0,5369980543.002,-0.0,5369980543.042,0.0,8760000000.0,0.0,0.0,199117770.0,,0.6130114775310502,199117770.0,,0.03707979356824382,0.03707979356796762,0.06207979356796762
6,0.065,0.065,0.03,0.088,0.0,0.0,1000000.0,0.0,5369980543.002,-0.0,5369980543.042,0.0,8760000000.0,0.0,0.0,199117770.0,,0.6130114775310502,199117770.0,,0.03707979356824382,0.03707979356796762,0.06707979356796762
7,0.065,0.065,0.035,0.093,0.0,0.0,1000000.0,0.0,5369980543.002,-0.0,5369980543.042,0.0,8760000000.0,0.0,0.0,199117770.0,,0.6130114775310502,199117770.0,,0.03707979356824382,0.03707979356796762,0.07207979356796762
8,0.065,0.065,0.04,0.098,397914.06,568448.6571428572,1000000.0,0.0,5369980543.002,3970361514.2220006,1399619021.177,2779253049.238,5980746950.629999,16499953.0,0.0,199117770.0,0.797323748303062,0.6130114775310502,215617723.0,0.005936830043066379,0.03707979356824382,0.05159711026487279,0.0915971102648728
9,0.065,0.065,0.045,0.10300000000000001,564838.46,806912.0857142857,1000000.0,0.0,5369980543.002,5019719705.421999,350260840.555,3513803783.858,5246196216.009999,23421661.0,0.0,199117770.0,0.7101484438726915,0.6130114775310502,222539431.0,0.006665614371410364,0.03707979356824382,0.05759205723268838,0.10259205723268838
