,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh)
0,0.044,0.0,0.044,87502.289,128208.48,0.0,90853059.77000001,88581734.63409999,0,62007214.2482,681992785.0799999,931419.41,0.0,2513659.6,0.9524668537927575,0.9524668543597856,3445079.0100000002,0.05555932566507787,0.05555932566507787,0.02766730813869649
1,0.044,0.01,0.054,190931.46,279753.05,0.0,185550371.73999998,180911616.07419997,0,126638130.61919999,617361869.38,2032372.7,0.0,5484847.4,0.8914850447110116,0.8914850470472447,7517220.100000001,0.05935984733227175,0.06935984733227175,0.0295598836508157
2,0.044,0.02,0.064,255574.57,374468.23,0.0,236672823.42999998,230756000.69410002,0,161529203.4192,582470796.5799999,2720467.3,0.0,7341836.2,0.8494943154189603,0.849494317962496,10062303.5,0.06229402044338909,0.08229402044338908,0.031021036102066333
3,0.044,0.03,0.074,362500.54,531136.32,0.0,311051699.86999995,303275406.4041,0,212292785.8192,531707214.18,3858642.3,0.0,10413476.0,0.787143009182887,0.7871430102177019,14272118.3,0.06722846584223972,0.09722846584223972,0.03347828031273315
4,0.044,0.04,0.08399999999999999,440967.1,646105.64,0.0,360030180.08,351029425.8441,0,245720598.1092,498279401.89000005,4693880.8,0.0,12667568.0,0.7489665807596897,0.7489665813249848,17361448.8,0.07065524393801308,0.11065524393801307,0.03518473922709819
5,0.044,0.05,0.094,481938.4,706136.86,0.0,383262413.74,373680850.1751,0,261576594.7892,482423405.21,5130000.5,0.0,13844542.0,0.7295153169142359,0.729515313612639,18974542.5,0.07253914485465052,0.12253914485465052,0.036122879530242555
6,0.044,0.06,0.104,518204.02,759273.28,0.0,401983184.71000004,391933605.60410005,0,274353525.6192,469646474.38,5516030.3,0.0,14886336.0,0.7116014629440425,0.7116014664034072,20402366.3,0.07436524190441163,0.13436524190441163,0.03703223559149457
7,0.044,0.07,0.114,547010.97,801481.28,0.0,415517965.06000006,405130016.41410005,0,283591009.97919995,460408990.0200001,5822666.4,0.0,15713868.0,0.6968246218857993,0.6968246201851469,21536534.4,0.07594223244798769,0.1459422324479877,0.03781754177038036
8,0.044,0.08,0.124,564609.57,827266.78,0.0,423200088.92999995,412620086.42410004,0,288834058.5492,455165941.45000005,6009994.9,-4.1393964e-10,16219419.0,0.6875863273636066,0.6875863235202616,22229413.9,0.07696257848419022,0.1569625784841902,0.038325651209120605
9,0.044,0.09,0.134,577990.54,846872.59,0.0,428637961.78,417922013.8751,0,292545408.1492,451454591.85,6152428.9,5.732502e-10,16603811.0,0.6802986667375641,0.6802986653695496,22756239.900000002,0.07778703499045925,0.16778703499045924,0.03873621209621645
10,0.044,0.1,0.14400000000000002,590112.33,864633.45,0.0,433200318.82,422370309.8241,0,295659215.90919995,448340784.09000003,6281459.4,0.0,16952031.0,0.673416566694676,0.6734165709615265,23233490.4,0.07858199288174818,0.1785819928817482,0.039132083388525335
11,0.044,0.11,0.154,597767.81,875850.27,0.0,435910263.72,425012508.5741,0,297508755.05920005,446491244.94000006,6362948.3,0.0,17171949.0,0.6689509743767194,0.6689509750299835,23534897.3,0.07910657047829361,0.1891065704782936,0.03939331194786945
12,0.044,0.12,0.16399999999999998,608978.71,892276.5,0.0,439672597.37,428680782.8751,0,300076547.3392,443923452.65999997,6482282.9,4.099041e-10,17494002.0,0.6623034369464494,0.6623034363944119,23976284.9,0.07990056241515511,0.1999005624151551,0.03978870210389341
13,0.044,0.13,0.174,618365.79,906030.47,0.0,442633813.89,431567966.67410004,0,302097576.6592,441902423.34000003,6582203.8,0.0,17763662.0,0.6566422924500392,0.656642289188311,24345865.8,0.0805894111076067,0.2105894111076067,0.04013173291910882
14,0.044,0.14,0.184,623985.88,914265.02,0.0,444321191.68999994,433213162.84510005,0,303249213.9992,440750786.0,6642026.9,0.0,17925110.0,0.6532087385836634,0.6532087411690974,24567136.9,0.08101302745689824,0.22101302745689827,0.040342685280935764
15,0.044,0.15,0.194,629010.12,921626.55,0.0,445737506.9,434594067.88409996,0,304215848.28920007,439784151.71,6695507.5,0.0,18069440.0,0.6500567418627765,0.6500567418385963,24764947.5,0.08140584272406948,0.23140584272406947,0.04053829825914522
