local_time,region2
21/08/2019,-194972624
22/08/2019,-193872602
23/08/2019,-193903864
24/08/2019,-179167758
25/08/2019,-178296734
26/08/2019,-191441096
27/08/2019,-217359912
28/08/2019,-220578050
29/08/2019,-197607872
30/08/2019,-187777282
31/08/2019,-168312914
01/09/2019,-167130194
02/09/2019,-195546428
03/09/2019,-203330666
04/09/2019,-192960614
05/09/2019,-197991332
06/09/2019,-199557666
07/09/2019,-188019216
08/09/2019,-181343778
09/09/2019,-222327490
10/09/2019,-213645586
11/09/2019,-206901002
12/09/2019,-208955054
13/09/2019,-204201690
14/09/2019,-171533208
15/09/2019,-184812320
16/09/2019,-221826836
17/09/2019,-214897144
18/09/2019,-220575740
19/09/2019,-217608930
20/09/2019,-203844410
21/09/2019,-177078748
22/09/2019,-193257834
23/09/2019,-216750072
24/09/2019,-224271432
25/09/2019,-223737052
26/09/2019,-206471188
27/09/2019,-203973308
28/09/2019,-184205406
29/09/2019,-188118546
30/09/2019,-223443836
01/10/2019,-223922160
02/10/2019,-227729194
03/10/2019,-236310998
04/10/2019,-224491960
05/10/2019,-204600088
06/10/2019,-193678254
07/10/2019,-228219530
08/10/2019,-217768782
09/10/2019,-220021032
10/10/2019,-216488118
11/10/2019,-219452002
12/10/2019,-212366616
13/10/2019,-215117980
14/10/2019,-244127114
15/10/2019,-237779850
16/10/2019,-230907292
17/10/2019,-236548158
18/10/2019,-234801490
19/10/2019,-209469568
20/10/2019,-205215934
21/10/2019,-249658486
22/10/2019,-243326622
23/10/2019,-242397232
24/10/2019,-243376518
25/10/2019,-243066670
26/10/2019,-217887208
27/10/2019,-209380864
28/10/2019,-254344552
29/10/2019,-256647314
30/10/2019,-260619590
31/10/2019,-261638146
01/11/2019,-246432956
02/11/2019,-219778944
03/11/2019,-220786412
04/11/2019,-249919670
05/11/2019,-254735712
06/11/2019,-268148958
07/11/2019,-257384666
08/11/2019,-263483066
09/11/2019,-248071516
10/11/2019,-235220832
11/11/2019,-251773522
12/11/2019,-259355558
13/11/2019,-272297564
14/11/2019,-271746860
15/11/2019,-269059406
16/11/2019,-250376434
17/11/2019,-247027704
18/11/2019,-278267528
19/11/2019,-294221158
20/11/2019,-281206002
21/11/2019,-277503842
22/11/2019,-269766728
23/11/2019,-243818036
24/11/2019,-240896194
25/11/2019,-266246750
26/11/2019,-261423316
27/11/2019,-268288174
28/11/2019,-267054480
29/11/2019,-272708128
30/11/2019,-256261236
01/12/2019,-255593184
02/12/2019,-287383250
03/12/2019,-279178592
04/12/2019,-283863272
05/12/2019,-279337520
06/12/2019,-257474140
07/12/2019,-229724880
08/12/2019,-218241562
09/12/2019,-262588480
10/12/2019,-265511708
11/12/2019,-273153958
12/12/2019,-280769720
13/12/2019,-263243288
14/12/2019,-234580346
15/12/2019,-237326474
16/12/2019,-273751170
17/12/2019,-287249732
18/12/2019,-273129318
19/12/2019,-262657164
20/12/2019,-264759264
21/12/2019,-241667118
22/12/2019,-229084548
23/12/2019,-239031254
24/12/2019,-229934012
25/12/2019,-212215388
26/12/2019,-212598386
27/12/2019,-231101640
28/12/2019,-219795268
29/12/2019,-211525006
30/12/2019,-234833676
31/12/2019,-238024094
