time,region1-1
03/08/2019,3453961.358
04/08/2019,4207329.388
05/08/2019,12763443.84
06/08/2019,5394690.25
07/08/2019,5347765.807
08/08/2019,12992951.64
09/08/2019,17414421.66
10/08/2019,4535250.533
11/08/2019,19710426.83
12/08/2019,6378364.949
13/08/2019,4980961.463
14/08/2019,10142520.43
15/08/2019,16004370.27
16/08/2019,21259795.25
17/08/2019,17182189.16
18/08/2019,21961544.64
19/08/2019,14188177.79
20/08/2019,8721155.233
21/08/2019,17129683.6
22/08/2019,18774323.36
23/08/2019,14910347.36
24/08/2019,16529193.89
25/08/2019,13355671.99
26/08/2019,12493581.48
27/08/2019,8033666.985
28/08/2019,16747284.01
29/08/2019,18058379.32
30/08/2019,17768333.06
31/08/2019,21030897.16
01/09/2019,14022244.7
02/09/2019,15100389.67
03/09/2019,11194424.48
04/09/2019,14462654.74
05/09/2019,18934174.49
06/09/2019,21024151.46
07/09/2019,14730159.82
08/09/2019,10107462.91
09/09/2019,14571335.49
10/09/2019,11607556.93
11/09/2019,21514064.41
12/09/2019,17954111.62
13/09/2019,18920122.18
14/09/2019,21615064.1
15/09/2019,22542750.63
16/09/2019,21015640.54
17/09/2019,18326415.39
18/09/2019,3210576.232
19/09/2019,5971121.138
20/09/2019,7911174.539
21/09/2019,20692600.17
22/09/2019,19651938.53
23/09/2019,19475699.18
24/09/2019,21702782.51
25/09/2019,22466237.8
26/09/2019,19426645.63
27/09/2019,9103359.438
28/09/2019,8860315.018
29/09/2019,15228187.31
30/09/2019,14370568.57
01/10/2019,17227653.16
02/10/2019,21666792.48
03/10/2019,10173612.67
04/10/2019,14626855.5
05/10/2019,21884883.64
06/10/2019,22645713.27
07/10/2019,22108637.01
08/10/2019,20729182.98
09/10/2019,21423768.91
10/10/2019,18237510.96
11/10/2019,20538735.31
12/10/2019,15085888.49
13/10/2019,2805834.415
14/10/2019,3964346.585
15/10/2019,9749283.738
16/10/2019,13401493.08
17/10/2019,9864336.082
18/10/2019,15211789.91
19/10/2019,22701019.49
20/10/2019,20862262.85
21/10/2019,10783060.55
22/10/2019,20433631.99
23/10/2019,22104520.68
24/10/2019,20248265.44
25/10/2019,21855643.47
26/10/2019,21796734.72
27/10/2019,22872434.91
28/10/2019,17847563.16
29/10/2019,5394388.265
30/10/2019,1156419.955
31/10/2019,12820198.05
01/11/2019,20357598.09
02/11/2019,23467811.23
03/11/2019,23250984.72
04/11/2019,22791974.55
