time,region1-1
11/09/2019,21.012
12/09/2019,16.961
13/09/2019,16.82
14/09/2019,21.386
15/09/2019,22.446
16/09/2019,20.167
17/09/2019,19.255
18/09/2019,2.793
19/09/2019,5.343
20/09/2019,7.362
21/09/2019,20.042
22/09/2019,20.344
23/09/2019,19.382
24/09/2019,22.087
25/09/2019,22.248
26/09/2019,20.118
27/09/2019,10.511
28/09/2019,9.693
29/09/2019,16.095
30/09/2019,14.807
01/10/2019,17.319
02/10/2019,22.049
03/10/2019,9.158
04/10/2019,15.25
05/10/2019,22.073
06/10/2019,22.582
07/10/2019,22.434
08/10/2019,21.965
09/10/2019,22.06
10/10/2019,19.652
11/10/2019,22.387
12/10/2019,15.276
13/10/2019,3.382
14/10/2019,5.931
15/10/2019,12.178
16/10/2019,15.056
17/10/2019,10.867
18/10/2019,13.503
19/10/2019,22.164
20/10/2019,21.683
21/10/2019,10.034
22/10/2019,20.703
23/10/2019,22.634
24/10/2019,19.547
25/10/2019,20.593
26/10/2019,21.03
27/10/2019,23.032
28/10/2019,17.866
29/10/2019,6.676
30/10/2019,0.902
31/10/2019,12.382
01/11/2019,21.31
02/11/2019,22.454
03/11/2019,22.81
04/11/2019,23.297
05/11/2019,15.907
06/11/2019,5.961
07/11/2019,18.749
08/11/2019,11.274
09/11/2019,8.807
10/11/2019,12.385
11/11/2019,19.54
12/11/2019,20.502
13/11/2019,7.157
14/11/2019,18.898
15/11/2019,14.219
16/11/2019,7.031
17/11/2019,5.447
18/11/2019,13.017
19/11/2019,8.184
20/11/2019,22.331
21/11/2019,18.022
22/11/2019,17.537
23/11/2019,19.392
24/11/2019,21.027
25/11/2019,16.368
26/11/2019,19.49
27/11/2019,13.324
28/11/2019,23.497
29/11/2019,17.628
30/11/2019,5.649
01/12/2019,17.784
02/12/2019,18.207
03/12/2019,16.013
04/12/2019,22.963
05/12/2019,23.699
06/12/2019,18.381
07/12/2019,18.327
08/12/2019,23.285
09/12/2019,19.844
10/12/2019,21.575
11/12/2019,23.69
12/12/2019,20.468
13/12/2019,10.952
14/12/2019,18.071
15/12/2019,19.711
16/12/2019,15.784
17/12/2019,16.15
18/12/2019,16.843
19/12/2019,20.459
20/12/2019,14.257
21/12/2019,16.279
22/12/2019,2.797
23/12/2019,3.475
24/12/2019,3.352
25/12/2019,8.454
26/12/2019,13.395
27/12/2019,22.698
28/12/2019,22.888
29/12/2019,23.578
30/12/2019,21.225
31/12/2019,15.222
