,elec_cost_(£/kWh),hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
16,0.048,0.048,0.08,0.138,683739.48,976770.6857142857,1000000.0,0.0,5369980543.002,5364516386.931999,5464157.881999999,3755161468.998,5004838530.84,28352025.0,0.0,199117770.0,0.6269513654097434,0.6130114775310502,227469795.0,0.007550148038658174,0.03707979356824382,0.06048722142776018,0.14048722142776018
17,0.048,0.048,0.085,0.14300000000000002,684886.48,978409.2571428572,1000000.0,0.0,5369980543.002,5365431041.142,4549499.762,3755801731.3980002,5004198268.38,28399587.0,0.0,199117770.0,0.6260081085052467,0.6130114775310502,227517357.0,0.007561524550825793,0.03707979356824382,0.06050428351338208,0.14550428351338207
18,0.048,0.048,0.09,0.148,685956.61,979938.0142857144,1000000.0,0.0,5369980543.002,5366236357.582,3744185.471,3756365448.178,5003634551.65,28443961.0,0.0,199117770.0,0.6251253138536125,0.6130114775310502,227561731.0,0.007572202809446177,0.03707979356824382,0.06051997233366906,0.15051997233366907
19,0.048,0.048,0.095,0.153,686713.0,981018.5714285715,1000000.0,0.0,5369980543.002,5366770709.622,3209831.024,3756739500.4779997,5003260499.320001,28475326.0,0.0,199117770.0,0.6244989408245607,0.6130114775310502,227593096.0,0.0075797978529990855,0.03707979356824382,0.06053089441742094,0.15553089441742093
20,0.048,0.048,0.1,0.158,687396.15,981994.5000000001,1000000.0,0.0,5369980543.002,5367225562.042,2754982.7879999997,3757057893.348,5002942106.45,28503653.0,0.0,199117770.0,0.6239311747214371,0.6130114775310502,227621423.0,0.007586695177220105,0.03707979356824382,0.060540625424403825,0.16054062542440384
21,0.048,0.048,0.105,0.163,688090.21,982986.0142857142,1000000.0,0.0,5369980543.002,5367664178.332,2316365.112,3757364923.038,5002635076.7300005,28532433.0,0.0,199117770.0,0.6233527671028237,0.6130114775310502,227650203.0,0.007593734860581557,0.03707979356824382,0.06055039923663802,0.165550399236638
22,0.048,0.048,0.11,0.168,688505.36,983579.0857142857,1000000.0,0.0,5369980543.002,5367914378.922,2066162.435,3757540066.838,5002459932.900001,28549648.0,0.0,199117770.0,0.6230059414560519,0.6130114775310502,227667418.0,0.007597962361589602,0.03707979356824382,0.06055618703558334,0.17055618703558334
23,0.048,0.048,0.115,0.17300000000000001,688823.36,984033.3714285715,1000000.0,0.0,5369980543.002,5368095998.632,1884542.407,3757667202.138,5002332797.620001,28562834.0,0.0,199117770.0,0.6227393960135708,0.6130114775310502,227680604.0,0.007601214387412649,0.03707979356824382,0.06056057196987857,0.17556057196987856
24,0.048,0.048,0.12,0.178,689284.98,984692.8285714287,1000000.0,0.0,5369980543.002,5368347985.162,1632559.314,3757843589.218,5002156410.570001,28581976.0,0.0,199117770.0,0.6223515543278687,0.6130114775310502,227699746.0,0.007605951477599379,0.03707979356824382,0.06056688139620521,0.1805668813962052
25,0.048,0.048,0.125,0.183,689654.79,985221.1285714287,1000000.0,0.0,5369980543.002,5368540145.372,1440399.0510000002,3757978101.3780003,5002021898.37,28597310.0,0.0,199117770.0,0.6220400991447623,0.6130114775310502,227715080.0,0.007609759617682112,0.03707979356824382,0.060571888970066684,0.18557188897006668
26,0.048,0.048,0.13,0.188,690022.21,985746.0142857142,1000000.0,0.0,5369980543.002,5368723753.092001,1256791.278,3758106625.7679996,5001893374.03,28612546.0,0.0,199117770.0,0.6217301406592094,0.6130114775310502,227730316.0,0.007613553538852239,0.03707979356824382,0.060576829302378,0.19057682930237801
27,0.048,0.048,0.135,0.193,690312.49,986160.7000000001,1000000.0,0.0,5369980543.002,5368862621.092,1117923.236,3758203832.418,5001796167.400001,28624583.0,0.0,199117770.0,0.6214847747153206,0.6130114775310502,227742353.0,0.0076165594726625456,0.03707979356824382,0.060580702531640634,0.19558070253164064
28,0.048,0.048,0.14,0.198,690534.77,986478.2428571429,1000000.0,0.0,5369980543.002,5368964627.392001,1015914.352,3758275239.7580004,5001724760.03,28633800.0,0.0,199117770.0,0.621296526246829,0.6130114775310502,227751570.0,0.007618867212568434,0.03707979356824382,0.0605836474652944,0.20058364746529442
29,0.048,0.048,0.145,0.20299999999999999,690692.01,986702.8714285715,1000000.0,0.0,5369980543.002,5369034227.722,946315.274,3758323959.668,5001676040.17,28640320.0,0.0,199117770.0,0.621163136789746,0.6130114775310502,227758090.0,0.007620503263515902,0.03707979356824382,0.0605857183289419,0.2055857183289419
