,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh)
0,0.044,0.0,0.044,0.0,1000000.0,0.0,23046178.07,-0.0,22470023.61,0.0,24000000.0,0.0,0.0,898876.28,,0.9602574195833333,898876.28,inf,inf,0.03900326888344658
1,0.044,0.01,0.054,0.0,1000000.0,0.0,23046178.07,-0.0,22470023.61,0.0,24000000.0,0.0,0.0,898876.28,,0.9602574195833333,898876.28,inf,inf,0.03900326888344658
2,0.044,0.02,0.064,0.0,1000000.0,0.0,23046178.07,-0.0,22470023.61,0.0,24000000.0,0.0,0.0,898876.28,,0.9602574195833333,898876.28,inf,inf,0.03900326888344658
3,0.044,0.03,0.074,0.0,1000000.0,0.0,23046178.07,-0.0,22470023.61,0.0,24000000.0,0.0,0.0,898876.28,,0.9602574195833333,898876.28,inf,inf,0.03900326888344658
4,0.044,0.04,0.08399999999999999,0.0,1000000.0,0.0,23046178.07,-0.0,22470023.61,0.0,24000000.0,0.0,0.0,898876.28,,0.9602574195833333,898876.28,inf,inf,0.03900326888344658
5,0.044,0.05,0.094,0.0,1000000.0,0.0,23046178.07,-0.0,22470023.61,0.0,24000000.0,0.0,0.0,898876.28,,0.9602574195833333,898876.28,inf,inf,0.03900326888344658
6,0.044,0.06,0.104,0.0,1000000.0,0.0,23046178.07,-0.0,22470023.61,0.0,24000000.0,0.0,0.0,898876.28,,0.9602574195833333,898876.28,inf,inf,0.03900326888344658
7,0.044,0.07,0.114,607080.87,1000000.0,0.0,23046178.07,22296308.14,173715.5215,14492600.2,9507399.8,259973.33,0.0,898876.28,0.994691764322382,0.9602574195833333,1158849.61,0.07996146957810926,0.14996146957810927,0.03900326888344658
8,0.044,0.08,0.124,610146.19,1000000.0,0.0,23046178.07,22361847.0,108176.58232,14535200.54,9464799.46,261286.01,0.0,898876.28,0.9926036837718077,0.9602574195833333,1160162.29,0.07981742575943848,0.15981742575943847,0.03900326888344658
9,0.044,0.09,0.134,611196.62,1000000.0,0.0,23046178.07,22378414.92,91608.70730000001,14545969.66,9454030.34,261735.84,0.0,898876.28,0.9916319058941568,0.9602574195833333,1160612.12,0.07978925758325829,0.1697892575832583,0.03900326888344658
10,0.044,0.1,0.14400000000000002,612493.37,1000000.0,0.0,23046178.07,22395594.77,74428.8138,14557136.620000001,9442863.379999999,262291.15,0.0,898876.28,0.9902921221280595,0.9602574195833333,1161167.4300000002,0.07976619717951099,0.17976619717951098,0.03900326888344658
11,0.044,0.11,0.154,613196.23,1000000.0,0.0,23046178.07,22403164.08,66859.5405,14562056.64,9437943.36,262592.14,0.0,898876.28,0.9894913411323485,0.9602574195833333,1161468.42,0.07975991638499766,0.18975991638499767,0.03900326888344658
12,0.044,0.12,0.16399999999999998,616188.11,1000000.0,0.0,23046178.07,22430781.36,39242.2353,14580007.92,9419992.08,263873.36,0.0,898876.28,0.9859007665694814,0.9602574195833333,1162749.6400000001,0.07974958905234944,0.19974958905234944,0.03900326888344658
13,0.044,0.13,0.174,619159.22,1000000.0,0.0,23046178.07,22453636.11,16387.50847,14594863.469999999,9405136.530000001,265145.7,0.0,898876.28,0.9821695157022776,0.9602574195833333,1164021.98,0.07975559225974727,0.20975559225974727,0.03900326888344658
14,0.044,0.14,0.184,619159.22,1000000.0,0.0,23046178.07,22453636.11,16387.50847,14594863.469999999,9405136.530000001,265145.7,0.0,898876.28,0.9821695157022776,0.9602574195833333,1164021.98,0.07975559225974727,0.21975559225974728,0.03900326888344658
15,0.044,0.15,0.194,619159.22,1000000.0,0.0,23046178.07,22453636.11,16387.50847,14594863.469999999,9405136.530000001,265145.7,0.0,898876.28,0.9821695157022776,0.9602574195833333,1164021.98,0.07975559225974727,0.22975559225974726,0.03900326888344658
16,0.044,0.16,0.20400000000000001,619569.21,1000000.0,0.0,23046178.07,22456159.11,13864.5166,14596503.43,9403496.57,265321.27,0.0,898876.28,0.9816298697552558,0.9602574195833333,1164197.55,0.07975865970799831,0.2397586597079983,0.03900326888344658
17,0.044,0.17,0.21400000000000002,619569.21,1000000.0,0.0,23046178.07,22456159.11,13864.5166,14596503.43,9403496.57,265321.27,0.0,898876.28,0.9816298697552558,0.9602574195833333,1164197.55,0.07975865970799831,0.24975865970799832,0.03900326888344658
18,0.044,0.18,0.22399999999999998,619569.21,1000000.0,0.0,23046178.07,22456159.11,13864.5166,14596503.43,9403496.57,265321.27,0.0,898876.28,0.9816298697552558,0.9602574195833333,1164197.55,0.07975865970799831,0.2597586597079983,0.03900326888344658
19,0.044,0.19,0.23399999999999999,621929.86,1000000.0,0.0,23046178.07,22467054.42,2969.1928,14603585.379999999,9396414.620000001,266332.19,0.0,898876.28,0.9783783723885947,0.9602574195833333,1165208.47,0.07978920516298581,0.2697892051629858,0.03900326888344658
20,0.044,0.2,0.244,621929.86,1000000.0,0.0,23046178.07,22467054.42,2969.1928,14603585.379999999,9396414.620000001,266332.19,0.0,898876.28,0.9783783723885947,0.9602574195833333,1165208.47,0.07978920516298581,0.27978920516298583,0.03900326888344658
21,0.044,0.21,0.254,621929.86,1000000.0,0.0,23046178.07,22467054.42,2969.1928,14603585.379999999,9396414.620000001,266332.19,0.0,898876.28,0.9783783723885947,0.9602574195833333,1165208.47,0.07978920516298581,0.2897892051629858,0.03900326888344658
22,0.044,0.22,0.264,621929.86,1000000.0,0.0,23046178.07,22467054.42,2969.1928,14603585.379999999,9396414.620000001,266332.19,0.0,898876.28,0.9783783723885947,0.9602574195833333,1165208.47,0.07978920516298581,0.2997892051629858,0.03900326888344658
23,0.044,0.23,0.274,621929.86,1000000.0,0.0,23046178.07,22467054.42,2969.1928,14603585.379999999,9396414.620000001,266332.19,0.0,898876.28,0.9783783723885947,0.9602574195833333,1165208.47,0.07978920516298581,0.3097892051629858,0.03900326888344658
24,0.044,0.24,0.284,621929.86,1000000.0,0.0,23046178.07,22467054.42,2969.1928,14603585.379999999,9396414.620000001,266332.19,0.0,898876.28,0.9783783723885947,0.9602574195833333,1165208.47,0.07978920516298581,0.3197892051629858,0.03900326888344658
25,0.044,0.25,0.294,621929.86,1000000.0,0.0,23046178.07,22467054.42,2969.1928,14603585.379999999,9396414.620000001,266332.19,0.0,898876.28,0.9783783723885947,0.9602574195833333,1165208.47,0.07978920516298581,0.3297892051629858,0.03900326888344658
26,0.044,0.26,0.304,622671.42,1000000.0,0.0,23046178.07,22469336.14,687.47055,14605068.5,9394931.5,266649.75,0.0,898876.28,0.9773124336320643,0.9602574195833333,1165526.03,0.07980284584081204,0.33980284584081205,0.03900326888344658
