,elec_cost_(£/kWh),hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
0,0.057,0.058,0.0,0.058,30800.0,44000.0,44000.0,0.0,5765798.5,5765798.5,0,4036058.95,739963941.05,108470.83,0.0,0.0,0.17613020833333334,0.17613020833333334,108470.83,0.026875432530538236,0.0,0.026875432530538236,0.026875432530538236
1,0.057,0.058,0.005,0.063,30975.0,44250.0,44250.0,0.0,5779798.5,5779798.5,0,4045858.95,739954141.05,109087.15,0.0,0.0,0.17556036996537272,0.1755603699653727,109087.15,0.026962667593738034,0.0,0.026962667593738034,0.03196266759373803
2,0.057,0.058,0.01,0.068,31325.0,44750.0,44750.0,0.0,5805781.8,5805781.8,0,4064047.26,739935952.74,110319.77,0.0,0.0,0.174379221481348,0.174379221481348,110319.77,0.02714529702590122,0.0,0.02714529702590122,0.03714529702590122
3,0.057,0.058,0.015,0.07300000000000001,31500.0,45000.0,45000.0,0.0,5818031.8,5818031.8,0,4072622.26,739927377.74,110936.08,0.0,0.0,0.17377633811230583,0.17377633811230586,110936.08,0.02723947199561788,0.0,0.02723947199561788,0.04223947199561788
4,0.057,0.058,0.02,0.078,31500.0,45000.0,45000.0,0.0,5818031.8,5818031.8,0,4072622.26,739927377.74,110936.08,0.0,0.0,0.17377633811230583,0.17377633811230586,110936.08,0.02723947199561788,0.0,0.02723947199561788,0.047239471995617885
5,0.057,0.058,0.025,0.083,32900.0,47000.0,47000.0,0.0,5900031.8,5900031.8,0,4130022.26,739869977.74,115866.57,0.0,0.0,0.16872660146419582,0.16872660146419582,115866.57,0.028054708354041658,0.0,0.028054708354041658,0.05305470835404166
6,0.057,0.058,0.03,0.088,36050.0,51500.0,51500.0,0.0,6078581.899999999,6078581.899999999,0,4255007.33,739744992.67,126960.18,0.0,0.0,0.15864343616243867,0.15864343616243864,126960.18,0.0298378287400036,0.0,0.0298378287400036,0.059837828740003596
7,0.057,0.058,0.035,0.093,37518.39,53597.700000000004,53597.7,0.0,6156946.8,6156946.8,0,4309862.76,739690137.24,132131.53,0.0,0.0,0.1543996501535002,0.1543996501535002,132131.53,0.03065794373461674,0.0,0.03065794373461674,0.06565794373461674
8,0.057,0.058,0.04,0.098,39900.0,57000.0,57000.0,0.0,6279344.6,6279344.6,0,4395541.22,739604458.78,140519.03,0.0,0.0,0.14806981229956612,0.14806981229956612,140519.03,0.031968538791225354,0.0,0.031968538791225354,0.07196853879122536
9,0.057,0.058,0.045,0.10300000000000001,39900.0,57000.0,57000.0,0.0,6279344.6,6279344.6,0,4395541.22,739604458.78,140519.03,0.0,0.0,0.14806981229956612,0.14806981229956612,140519.03,0.031968538791225354,0.0,0.031968538791225354,0.07696853879122535
