,elec_cost_(£/kWh),hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
0,0.057,0.057,0.0,0.058,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
1,0.057,0.057,0.005,0.063,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
2,0.057,0.057,0.01,0.068,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
3,0.057,0.057,0.015,0.07300000000000001,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
4,0.057,0.057,0.02,0.078,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
5,0.057,0.057,0.025,0.083,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
6,0.057,0.057,0.03,0.088,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
7,0.057,0.057,0.035,0.093,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
8,0.057,0.057,0.04,0.098,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
9,0.057,0.057,0.045,0.10300000000000001,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
10,0.057,0.057,0.05,0.10800000000000001,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
11,0.057,0.057,0.055,0.113,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
12,0.057,0.057,0.06,0.118,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
13,0.057,0.057,0.065,0.123,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
14,0.057,0.057,0.07,0.128,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
15,0.057,0.057,0.075,0.133,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
16,0.057,0.057,0.08,0.138,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
17,0.057,0.057,0.085,0.14300000000000002,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
18,0.057,0.057,0.09,0.148,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
19,0.057,0.057,0.095,0.153,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
20,0.057,0.057,0.1,0.158,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
21,0.057,0.057,0.105,0.163,0.0,0.0,124914.3,0.0,523661356.59999996,-0.0,523661356.59999996,0.0,8760000000.0,0.0,0.0,0.0,,0.478557648530225,0.0,,0.0,,
22,0.057,0.057,0.11,0.168,20978.3,29969.0,124914.3,0.0,523661356.59999996,196150295.0,327511061.59999996,137305206.49999997,8622694793.499998,12050456.0,0.0,0.0,0.7471582697859324,0.478557648530225,12050456.0,0.08776401352267732,0.0,0.08776401352267732,0.1977640135226773
23,0.057,0.057,0.115,0.17300000000000001,56377.3,80539.00000000001,124914.3,0.0,523661356.59999996,416503502.0,107157854.6,291552451.4,8468447548.599998,26078448.0,0.0,0.0,0.5903483017189947,0.478557648530225,26078448.0,0.08944684867088036,0.0,0.08944684867088036,0.20444684867088037
24,0.057,0.057,0.12,0.178,75579.7,107971.0,124914.3,0.0,523661356.59999996,495064744.59999996,28596612.0,346545321.21999997,8413454678.780001,31352688.0,0.0,0.0,0.52342055043615,0.478557648530225,31352688.0,0.09047211455524497,0.0,0.09047211455524497,0.21047211455524495
25,0.057,0.057,0.125,0.183,81856.6,116938.00000000001,124914.3,0.0,523661356.59999996,514226387.3,9434969.3,359958471.11,8400041528.89,32705180.0,0.0,0.0,0.5019894506990435,0.478557648530225,32705180.0,0.09085820344537911,0.0,0.09085820344537911,0.2158582034453791
26,0.057,0.057,0.13,0.188,83971.3,119959.00000000001,124914.3,0.0,523661356.59999996,519314471.3,4346885.3,363520129.91,8396479870.09,33082889.0,0.0,0.0,0.4941894638392623,0.478557648530225,33082889.0,0.09100703448854575,0.0,0.09100703448854575,0.22100703448854575
27,0.057,0.057,0.135,0.193,84233.8,120334.00000000001,124914.3,0.0,523661356.59999996,519857734.3,3803622.3,363900414.01,8396099585.989999,33124740.0,0.0,0.0,0.49316477651283075,0.478557648530225,33124740.0,0.09102693683412444,0.0,0.09102693683412444,0.22602693683412445
28,0.057,0.057,0.14,0.198,85374.8,121964.00000000001,124914.3,0.0,523661356.59999996,521799905.3,1861451.3,365259933.71,8394740066.289999,33282757.0,0.0,0.0,0.4883916502833608,0.478557648530225,33282757.0,0.09112074423806094,0.0,0.09112074423806094,0.23112074423806095
29,0.057,0.057,0.145,0.20299999999999999,86018.8,122884.00000000001,124914.3,0.0,10523661027.6,522763487.3,897869.3,365934441.10999995,8394065558.889999,33364385.0,0.0,0.0,0.48563032762902647,0.478557648530225,33364385.0,0.09117585351844666,0.0,0.09117585351844666,0.23617585351844667
