,elec_cost_(£/kWh),hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
0,0.057,0.057,0.0,0.058,0.0,0.0,1000000.0,0.0,340212947.997,-0.0,340212948.14699996,0.0,744000000.0,0.0,0.0,16911372.0,,0.45727546785887097,16911372.0,,0.04970819629166238,0.04970819626974602,0.04970819626974602
1,0.057,0.057,0.005,0.063,0.0,0.0,1000000.0,0.0,340212947.997,-0.0,340212948.14699996,0.0,744000000.0,0.0,0.0,16911372.0,,0.45727546785887097,16911372.0,,0.04970819629166238,0.04970819626974602,0.05470819626974602
2,0.057,0.057,0.01,0.068,0.0,0.0,1000000.0,0.0,340212947.997,-0.0,340212948.14699996,0.0,744000000.0,0.0,0.0,16911372.0,,0.45727546785887097,16911372.0,,0.04970819629166238,0.04970819626974602,0.05970819626974602
3,0.057,0.057,0.015,0.07300000000000001,0.0,0.0,1000000.0,0.0,340212947.997,-0.0,340212948.14699996,0.0,744000000.0,0.0,0.0,16911372.0,,0.45727546785887097,16911372.0,,0.04970819629166238,0.04970819626974602,0.06470819626974603
4,0.057,0.057,0.02,0.078,0.0,0.0,1000000.0,0.0,340212947.997,-0.0,340212948.14699996,0.0,744000000.0,0.0,0.0,16911372.0,,0.45727546785887097,16911372.0,,0.04970819629166238,0.04970819626974602,0.06970819626974602
5,0.057,0.057,0.025,0.083,0.0,0.0,1000000.0,0.0,340212947.997,-0.0,340212948.14699996,0.0,744000000.0,0.0,0.0,16911372.0,,0.45727546785887097,16911372.0,,0.04970819629166238,0.04970819626974602,0.07470819626974602
6,0.057,0.057,0.03,0.088,282465.41,403522.01428571425,1000000.0,0.0,340212947.997,223619455.24700004,116593493.912,156533617.09429997,587466382.9200001,994781.13,0.0,16911372.0,0.7448510124907812,0.45727546769758065,17906153.13,0.0063550638416584836,0.04970819629166238,0.0655597793423992,0.0955597793423992
7,0.057,0.057,0.035,0.093,409928.81,585612.5857142857,1000000.0,0.0,340212947.997,283985425.94699997,56227522.812,198789797.4033,545210202.5899999,1443679.2,0.0,16911372.0,0.6517975350589809,0.45727546785887097,18355051.2,0.007262340516757498,0.04970819629166238,0.07197570417767558,0.10697570417767559
8,0.057,0.057,0.04,0.098,471839.37,674056.2428571429,1000000.0,0.0,340212947.997,303409829.597,36803119.129,212386881.04430002,531613118.96,1661714.6,0.0,16911372.0,0.6050072463490465,0.45727546769758065,18573086.6,0.007823998317736945,0.04970819629166238,0.07453383597689829,0.11453383597689828
9,0.057,0.057,0.045,0.10300000000000001,558887.72,798411.0285714286,1000000.0,0.0,340212947.997,323855172.00699997,16357775.675999999,226698620.2043,517301379.8,1968279.8,0.0,16911372.0,0.5451943845020533,0.45727546769758065,18879651.8,0.008682363387241586,0.04970819629166238,0.07767601313934491,0.12267601313934491
10,0.057,0.057,0.05,0.10800000000000001,589933.0,842761.4285714286,1000000.0,0.0,340212947.997,329739888.687,10473058.783,230817922.76430002,513182077.23,2077614.4,0.0,16911372.0,0.5258887763532524,0.45727546769758065,18988986.4,0.00900109651416263,0.04970819629166238,0.07869745598543064,0.12869745598543064
11,0.057,0.057,0.055,0.113,620410.52,886300.7428571429,1000000.0,0.0,340212947.997,334628927.967,5584020.217,234240249.7443,509759750.26,2184949.5,0.0,16911372.0,0.5074689019703308,0.45727546769758065,19096321.5,0.009327814081419064,0.04970819629166238,0.07962630931006914,0.13462630931006914
12,0.057,0.057,0.06,0.118,630195.35,900279.0714285715,1000000.0,0.0,340212947.997,335973170.877,4239777.345,235181219.6943,508818780.31000006,2219409.6,0.0,16911372.0,0.501596512750679,0.45727546769758065,19130781.6,0.009437018835453344,0.04970819629166238,0.07990436025483497,0.13990436025483496
13,0.057,0.057,0.065,0.123,635562.02,907945.7428571429,1000000.0,0.0,340212947.997,336635990.377,3576957.602,235645192.84329998,508354807.17,2238309.8,0.0,16911372.0,0.4983422542077298,0.45727546785887097,19149681.8,0.009498644012179945,0.04970819629166238,0.08004978537461449,0.1450497853746145
14,0.057,0.057,0.07,0.128,643465.43,919236.3285714287,1000000.0,0.0,340212947.997,337510594.317,2702353.277,236257416.4243,507742583.56,2266143.9,0.0,16911372.0,0.49350015725456503,0.45727546769758065,19177515.9,0.009591842382336822,0.04970819629166238,0.08025416129238791,0.15025416129238792
15,0.057,0.057,0.075,0.133,648777.43,926824.9000000001,1000000.0,0.0,340212947.997,338043570.367,2169377.851,236630499.2243,507369500.8,2284851.6,0.0,16911372.0,0.4902324457699159,0.45727546769758065,19196223.6,0.009655778132954066,0.04970819629166238,0.08038623735952308,0.15538623735952306
16,0.057,0.057,0.08,0.138,654761.73,935373.9,1000000.0,0.0,340212947.997,338578791.477,1634156.294,237005154.0043,506994846.02,2305927.0,0.0,16911372.0,0.4865209738539676,0.45727546769758065,19217299.0,0.009729438204361427,0.04970819629166238,0.08052863954383001,0.16052863954383
