,elec_cost_(£/kWh),hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
0,0.048,0.058,0.0,0.058,655900.0,937000.0000000001,1000000.0,5000.0,5414431013.24,5413330313.599999,0,3789331219.52,4970668780.4800005,57339073.0,252635.92,168962980.0,0.6595091584431026,0.6180857321050228,226554688.92000002,0.015131713138357756,0.031206045397352365,0.05978751283417712,0.05978751283417712
1,0.048,0.058,0.005,0.063,659400.0,942000.0000000001,1000000.0,6000.0,5422465905.48,5421243724.8,0,3794870607.3599997,4965129392.64,57645045.0,303163.11,168962980.0,0.6569675572230462,0.6190029572465753,226911188.11,0.015190253098010705,0.03115980495686368,0.0597941831455109,0.0647941831455109
2,0.048,0.058,0.01,0.068,662200.0,946000.0000000001,1000000.0,6000.0,5427469357.28,5426311158.4,0,3798417810.88,4961582189.12,57889822.0,303163.11,168962980.0,0.6548011765955187,0.6195741275433789,227155965.11,0.015240509307370888,0.031131079491654015,0.05980278537535963,0.06980278537535962
3,0.048,0.058,0.015,0.07300000000000001,665000.0,950000.0000000001,1000000.0,5000.0,5430988005.67,5430077617.599999,0,3801054332.32,4958945667.679999,58134599.0,252635.92,168962980.0,0.6524967096371065,0.6199757997340183,227350214.92000002,0.01529433518108044,0.031110910173913316,0.05981240862222435,0.07481240862222435
4,0.048,0.058,0.02,0.078,667100.0,953000.0000000001,1000000.0,6000.0,5435369442.34,5434345784.000001,0,3804042048.8,4955957951.2,58318182.0,303163.11,168962980.0,0.650953943087678,0.620475963737443,227584325.11,0.015330582904149731,0.03108583175300392,0.05982697409503987,0.07982697409503987
5,0.048,0.058,0.025,0.083,667964.21,954234.5857142857,1000000.0,8765.4105,5439469000.0,5438035599.322,0,3806624918.2703,4953375081.66,58393732.0,442891.51,168962980.0,0.6505531539584103,0.6209439497716895,227799603.51,0.015340027781495647,0.03106240333385483,0.05984293393779136,0.08484293393779135
6,0.048,0.058,0.03,0.088,670600.0,958000.0000000001,1000000.0,7000.0,5441393000.0,5440306126.4,0,3808214288.4800005,4951785711.52,58624154.0,353690.29,168962980.0,0.6482667141399987,0.6211635844748858,227940824.29,0.015394132146749303,0.031051420105109116,0.05985504150318695,0.08985504150318695
7,0.048,0.058,0.035,0.093,672700.0,961000.0000000001,1000000.0,7000.0,5444124000.0,5443100256.0,0,3810170179.2,4949829820.8,58807737.0,353690.29,168962980.0,0.646574897723547,0.6214753424657534,228124407.29,0.015434412174300187,0.03103584341576349,0.059872498224711315,0.09487249822471132
8,0.048,0.058,0.04,0.098,674100.0,963000.0000000001,1000000.0,6000.0,5444992000.0,5444143667.200001,0,3810900567.04,4949099432.96,58930125.0,303163.11,168962980.0,0.6453557503425843,0.6215744292237443,228196268.11,0.015463569296370324,0.03103089591316204,0.05987987985927548,0.09987987985927549
9,0.048,0.058,0.045,0.10300000000000001,675500.0,965000.0000000001,1000000.0,6000.0,5446643000.0,5445836600.0,0,3812085620.0,4947914380.0,59052514.0,303163.11,168962980.0,0.644218491967729,0.621762899543379,228318657.11,0.015490867699870813,0.03102148975065926,0.059893370681952315,0.10489337068195231
10,0.048,0.058,0.05,0.10800000000000001,677600.0,968000.0000000001,1000000.0,4000.0,5447425000.0,5446917966.4,0,3812842576.48,4947157423.52,59236097.0,202108.74,168962980.0,0.6423494714894902,0.6218521689497717,228401185.74,0.015535940918569607,0.03101703648971762,0.05990312507233357,0.10990312507233357
11,0.048,0.058,0.055,0.113,678300.0,969000.0000000001,1000000.0,5000.0,5448924000.0,5448320044.799999,0,3813824031.3599997,4946175968.64,59297291.0,252635.92,168962980.0,0.6418517471761596,0.6220232876712328,228512906.92000002,0.015547988190439595,0.031008503697243714,0.05991700325998337,0.11491700325998337
12,0.048,0.058,0.06,0.118,679000.0,970000.0000000001,1000000.0,5000.0,5449632000.0,5449047859.2,0,3814333501.4399996,4945666498.56,59358486.0,252635.92,168962980.0,0.6412756977827989,0.622104109589041,228574101.92000002,0.015561954920195308,0.03100447516456157,0.05992504374190353,0.11992504374190352
13,0.048,0.058,0.065,0.123,679700.0,971000.0000000001,1000000.0,5000.0,5450319000.0,5449754366.4,0,3814828056.4799995,4945171943.52,59419680.0,252635.92,168962980.0,0.6406983299239591,0.6221825342465753,228635295.92000002,0.015575978555329032,0.03100056712276841,0.059933316137704334,0.12493331613770434
