,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh)
0,0.044,0.0,0.044,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
1,0.044,0.01,0.054,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
2,0.044,0.02,0.064,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
3,0.044,0.03,0.074,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
4,0.044,0.04,0.08399999999999999,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
5,0.044,0.05,0.094,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
6,0.044,0.06,0.104,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
7,0.044,0.07,0.114,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
8,0.044,0.08,0.124,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
9,0.044,0.09,0.134,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
10,0.044,0.1,0.14400000000000002,0.0,124140.0,0.0,61941284.0,-0.0,60392751.05500001,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
11,0.044,0.11,0.154,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
12,0.044,0.12,0.16399999999999998,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
13,0.044,0.13,0.174,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
14,0.044,0.14,0.184,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
15,0.044,0.15,0.194,0.0,124140.0,0.0,61941284.0,-0.0,60392751.625,0.0,744000000.0,0.0,0.0,0.0,,0.6706493795593251,0.0,,,0.0
16,0.044,0.16,0.20400000000000001,46344.236,124140.0,0.0,61941284.0,41501453.175,18891298.725,26975944.444149997,717024053.67,3022317.3,0.0,0.0,0.7823624462012413,0.6706493795593251,3022317.3,0.11203749719522496,0.27203749719522496,0.0
17,0.044,0.17,0.21400000000000002,69538.219,124140.0,0.0,61941284.0,56750791.285000004,3641962.35,36888013.298149996,707111986.3800001,4214685.6,0.0,0.0,0.7129987472809427,0.6706493795593251,4214685.6,0.11425623727508726,0.28425623727508725,0.0
18,0.044,0.18,0.22399999999999998,73808.426,124140.0,0.0,61941284.0,58854280.235,1538472.975,38255281.23715,705744717.72,4393376.3,0.0,0.0,0.6966465964144827,0.6706493795593251,4393376.3,0.11484365446864257,0.2948436544686426,0.0
19,0.044,0.19,0.23399999999999999,75145.005,124140.0,0.0,61941284.0,59362820.294999994,1029931.5,38585833.26414999,705414167.96,4440615.1,0.0,0.0,0.6901680174015714,0.6706493795593251,4440615.1,0.11508407942367191,0.3050840794236719,0.0
