,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh)
0,0.044,0.0,0.044,0.0,1000000.0,0.0,1156419.959,-0.0,1127509.4545999998,0.0,24000000.0,0.0,0.0,760730.54,,0.04818416495833334,760730.54,inf,inf,0.6578324198570842
1,0.044,0.01,0.054,0.0,1000000.0,0.0,1156419.959,-0.0,1127509.4545999998,0.0,24000000.0,0.0,0.0,760730.54,,0.04818416495833334,760730.54,inf,inf,0.6578324198570842
2,0.044,0.02,0.064,0.0,1000000.0,0.0,1156419.959,-0.0,1127509.4545999998,0.0,24000000.0,0.0,0.0,760730.54,,0.04818416495833334,760730.54,inf,inf,0.6578324198570842
3,0.044,0.03,0.074,3455.058,1000000.0,0.0,1156419.959,110392.302,1017117.1581,77274.6121,23922725.339999996,550.91437,0.0,760730.54,0.931902012691731,0.04818416495833334,761281.45437,9.851637344809138,9.881637344809137,0.6578324198570842
4,0.044,0.04,0.08399999999999999,31006.649,1000000.0,0.0,1156419.959,555196.3726,572313.0825,388637.46650000004,23611362.509999998,4944.0584,0.0,760730.54,0.5222501719174276,0.04818416495833334,765674.5984,1.9701512705286224,2.010151270528622,0.6578324198570842
5,0.044,0.05,0.094,62948.455,1000000.0,0.0,1156419.959,847789.2146000001,279720.242,593452.4515,23406547.57,10037.229,0.0,760730.54,0.39281640000801715,0.04818416495833334,770767.7690000001,1.2987860561563458,1.3487860561563458,0.6578324198570842
6,0.044,0.06,0.104,82757.187,1000000.0,0.0,1156419.959,989280.1446,138229.3,692496.1115,23307503.869999997,13195.762,0.0,760730.54,0.34865859621150885,0.04818416495833334,773926.302,1.117589383027171,1.177589383027171,0.6578324198570842
7,0.044,0.07,0.114,91012.165,1000000.0,0.0,1156419.959,1036451.4646000001,91057.996,725516.0234999999,23274483.99,14512.031,0.0,760730.54,0.3321515789949618,0.04818416495833334,775242.571,1.068539557899923,1.1385395578999231,0.6578324198570842
8,0.044,0.08,0.124,99455.447,1000000.0,0.0,1156419.959,1072636.9545999998,54872.503,750845.8695,23249154.119999997,15858.326,0.0,760730.54,0.3145654210623577,0.04818416495833334,776588.866,1.034285327449617,1.1142853274496172,0.6578324198570842
9,0.044,0.09,0.134,99455.447,1000000.0,0.0,1156419.959,1072636.9545999998,54872.503,750845.8695,23249154.119999997,15858.326,0.0,760730.54,0.3145654210623577,0.04818416495833334,776588.866,1.034285327449617,1.1242853274496172,0.6578324198570842
10,0.044,0.1,0.14400000000000002,99455.447,1000000.0,0.0,1156419.959,1072636.9545999998,54872.503,750845.8695,23249154.119999997,15858.326,0.0,760730.54,0.3145654210623577,0.04818416495833334,776588.866,1.034285327449617,1.1342853274496172,0.6578324198570842
11,0.044,0.11,0.154,113598.33,1000000.0,0.0,1156419.959,1113045.1945999998,14464.265,779131.6354999999,23220868.36,18113.43,0.0,760730.54,0.2857772481851919,0.04818416495833334,778843.9700000001,0.9996307870366281,1.1096307870366282,0.6578324198570842
12,0.044,0.12,0.16399999999999998,113598.33,1000000.0,0.0,1156419.959,1113045.1945999998,14464.265,779131.6354999999,23220868.36,18113.43,0.0,760730.54,0.2857772481851919,0.04818416495833334,778843.9700000001,0.9996307870366281,1.1196307870366282,0.6578324198570842
13,0.044,0.13,0.174,113598.33,1000000.0,0.0,1156419.959,1113045.1945999998,14464.265,779131.6354999999,23220868.36,18113.43,0.0,760730.54,0.2857772481851919,0.04818416495833334,778843.9700000001,0.9996307870366281,1.129630787036628,0.6578324198570842
14,0.044,0.14,0.184,113598.33,1000000.0,0.0,1156419.959,1113045.1945999998,14464.265,779131.6354999999,23220868.36,18113.43,0.0,760730.54,0.2857772481851919,0.04818416495833334,778843.9700000001,0.9996307870366281,1.1396307870366282,0.6578324198570842
15,0.044,0.15,0.194,113598.33,1000000.0,0.0,1156419.959,1113045.1945999998,14464.265,779131.6354999999,23220868.36,18113.43,0.0,760730.54,0.2857772481851919,0.04818416495833334,778843.9700000001,0.9996307870366281,1.149630787036628,0.6578324198570842
16,0.044,0.16,0.20400000000000001,113598.33,1000000.0,0.0,1156419.959,1113045.1945999998,14464.265,779131.6354999999,23220868.36,18113.43,0.0,760730.54,0.2857772481851919,0.04818416495833334,778843.9700000001,0.9996307870366281,1.159630787036628,0.6578324198570842
17,0.044,0.17,0.21400000000000002,113598.33,1000000.0,0.0,1156419.959,1113045.1945999998,14464.265,779131.6354999999,23220868.36,18113.43,0.0,760730.54,0.2857772481851919,0.04818416495833334,778843.9700000001,0.9996307870366281,1.169630787036628,0.6578324198570842
18,0.044,0.18,0.22399999999999998,113598.33,1000000.0,0.0,1156419.959,1113045.1945999998,14464.265,779131.6354999999,23220868.36,18113.43,0.0,760730.54,0.2857772481851919,0.04818416495833334,778843.9700000001,0.9996307870366281,1.179630787036628,0.6578324198570842
19,0.044,0.19,0.23399999999999999,123723.32,1000000.0,0.0,1156419.959,1127509.4545999998,-0.0,789256.6254999998,23210743.369999997,19727.875,0.0,760730.54,0.26580027701460535,0.04818416495833334,780458.415,0.9888525351378253,1.1788525351378254,0.6578324198570842
20,0.044,0.2,0.244,123723.32,1000000.0,0.0,1156419.959,1127509.4545999998,-0.0,789256.6254999998,23210743.369999997,19727.875,0.0,760730.54,0.26580027701460535,0.04818416495833334,780458.415,0.9888525351378253,1.1888525351378254,0.6578324198570842
21,0.044,0.21,0.254,123723.32,1000000.0,0.0,1156419.959,1127509.4545999998,-0.0,789256.6254999998,23210743.369999997,19727.875,0.0,760730.54,0.26580027701460535,0.04818416495833334,780458.415,0.9888525351378253,1.1988525351378254,0.6578324198570842
22,0.044,0.22,0.264,123723.32,1000000.0,0.0,1156419.959,1127509.4545999998,-0.0,789256.6254999998,23210743.369999997,19727.875,0.0,760730.54,0.26580027701460535,0.04818416495833334,780458.415,0.9888525351378253,1.2088525351378254,0.6578324198570842
23,0.044,0.23,0.274,123723.32,1000000.0,0.0,1156419.959,1127509.4545999998,-0.0,789256.6254999998,23210743.369999997,19727.875,0.0,760730.54,0.26580027701460535,0.04818416495833334,780458.415,0.9888525351378253,1.2188525351378254,0.6578324198570842
24,0.044,0.24,0.284,123723.32,1000000.0,0.0,1156419.959,1127509.4545999998,-0.0,789256.6254999998,23210743.369999997,19727.875,0.0,760730.54,0.26580027701460535,0.04818416495833334,780458.415,0.9888525351378253,1.2288525351378254,0.6578324198570842
25,0.044,0.25,0.294,123723.32,1000000.0,0.0,1156419.959,1127509.4545999998,-0.0,789256.6254999998,23210743.369999997,19727.875,0.0,760730.54,0.26580027701460535,0.04818416495833334,780458.415,0.9888525351378253,1.2388525351378252,0.6578324198570842
26,0.044,0.26,0.304,123723.32,1000000.0,0.0,1156419.959,1127509.4545999998,-0.0,789256.6254999998,23210743.369999997,19727.875,0.0,760730.54,0.26580027701460535,0.04818416495833334,780458.415,0.9888525351378253,1.2488525351378255,0.6578324198570842
27,0.044,0.27,0.314,123723.32,1000000.0,0.0,1156419.959,1127509.4545999998,-0.0,789256.6254999998,23210743.369999997,19727.875,0.0,760730.54,0.26580027701460535,0.04818416495833334,780458.415,0.9888525351378253,1.2588525351378252,0.6578324198570842
28,0.044,0.28,0.324,123723.32,1000000.0,0.0,1156419.959,1127509.4545999998,-0.0,789256.6254999998,23210743.369999997,19727.875,0.0,760730.54,0.26580027701460535,0.04818416495833334,780458.415,0.9888525351378253,1.2688525351378255,0.6578324198570842
29,0.044,0.29,0.33399999999999996,123723.32,1000000.0,0.0,1156419.959,1127509.4545999998,-0.0,789256.6254999998,23210743.369999997,19727.875,0.0,760730.54,0.26580027701460535,0.04818416495833334,780458.415,0.9888525351378253,1.2788525351378253,0.6578324198570842
30,0.044,0.3,0.344,123723.32,1000000.0,0.0,1156419.959,1127509.4545999998,-0.0,789256.6254999998,23210743.369999997,19727.875,0.0,760730.54,0.26580027701460535,0.04818416495833334,780458.415,0.9888525351378253,1.2888525351378253,0.6578324198570842
